sample,climate_zone,operation hour,siteEUI,sourceEUI
2,1A,32.302901451800764,41.78565101964,131.90913051998
2,2A,32.302901451800764,42.87665328738,130.30124501482
2,2B,32.302901451800764,43.74487623814,136.81291714552
2,3A,32.302901451800764,44.43082520228,128.75147585322
2,3B,32.302901451800764,43.67355163468,131.07260739298
2,3C,32.302901451800764,38.79618152894,118.6718124482
2,4A,32.302901451800764,49.98093601226,131.92498043186
2,4B,32.302901451800764,44.58580211844,128.70216501625998
2,4C,32.302901451800764,44.6175019422,124.53892149578
2,5A,32.302901451800764,54.008574731100005,135.22352320422002
2,5B,32.302901451800764,49.574121607340004,132.05089917624002
2,6A,32.302901451800764,58.954627788319996,139.71609267154
2,6B,32.302901451800764,53.246017859540004,134.6317931607
2,7A,32.302901451800764,64.2053513739,145.25475632293998
2,8A,32.302901451800764,80.93053060994,161.95175793786
2,1A,32.302901451800764,39.26463448006,124.12946543888
2,2A,32.302901451800764,40.4965248534,124.83302541622001
2,2B,32.302901451800764,43.733429079560004,136.70901216764
2,3A,32.302901451800764,41.19480152678,122.93719984524002
2,3B,32.302901451800764,41.32072027116,126.09397396134
2,3C,32.302901451800764,37.158357301340004,115.47805520438001
2,4A,32.302901451800764,44.51888026828,124.01851605572001
2,4B,32.302901451800764,41.14549068982,122.60171004378
2,4C,32.302901451800764,40.4392890605,118.5837573822
2,5A,32.302901451800764,47.409728085059996,126.5659491151
2,5B,32.302901451800764,44.42113914502,124.51954938125999
2,6A,32.302901451800764,49.903447554180005,128.01269384948
2,6B,32.302901451800764,46.12412412145999,124.94661645136
2,7A,32.302901451800764,53.15091838826,131.46709408866
2,8A,32.302901451800764,63.90332249752,141.75456744944
0.03222420266904595
